Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Aldona,10,GLENN SOUZA TICLO,Bharatiya Janata Party,AMARNATH PANJIKAR,Indian National Congress,4456,Result Declared
Benaulim,32,CHURCHILL ALEMAO,Nationalist Congress Party,ROYLA CLARINA FERNANDES,Aam Aadmi Party,5191,Result Declared
Bicholim,3,RAJESH PATNEKAR,Bharatiya Janata Party,NARESH SAWAL,Maharashtrawadi Gomantak,666,Result Declared
Calangute,8,MICHAEL VINCENT LOBO,Bharatiya Janata Party,JOSEPH ROBERT SEQUEIRA,Indian National Congress,3825,Result Declared
Canacona,40,ISIDORE ALEIXINHO FERNANDES,Indian National Congress,VIJAY PAI KHOT,Bharatiya Janata Party,2108,Result Declared
Cortalim,27,ALINA SALDANHA,Bharatiya Janata Party,ANTONIO VAS,Independent,518,Result Declared
Cumbarjua,15,PANDURANG MADKAIKAR,Bharatiya Janata Party,XAVIER FIALHO,Indian National Congress,8434,Result Declared
Cuncolim ,34,CLAFASIO DIAS,Indian National Congress,JOAQUIM ALEMAO,Independent,33,Result Declared
Curchorem,37,NILESH CABRAL,Bharatiya Janata Party,SHYAM GOPINATH SATARDEKAR,Goa Suraksha Manch,9088,Result Declared
Curtorim,29,ALEIXO REGINALDO LOURENCO,Indian National Congress,ARTHUR D’SILVA,Bharatiya Janata Party,7697,Result Declared
Dabolim,26,MAUVIN HELIODORO GODINHO,Bharatiya Janata Party,PREMANAND NANOSKAR,Maharashtrawadi Gomantak,2494,Result Declared
Fatorda,30,VIJAI SARDESAI,Goa Forward Party,DAMU G. NAIK,Bharatiya Janata Party,1334,Result Declared
Maem,16,PRAVIN  ZANTYE,Bharatiya Janata Party,SANTOSH KUMAR SAWANT,Indian National Congress,4974,Result Declared
Mandrem,1,DAYANAND RAGHUNATH SOPTE,Indian National Congress,LAXMIKANT PARSEKAR,Bharatiya Janata Party,7119,Result Declared
Mapusa,5,FRANCISCO C. J. A. DE PINTO E SOUZA,Bharatiya Janata Party,VINOD FADKE,Maharashtrawadi Gomantak,6828,Result Declared
Marcaim,23,RAMKRISHNA ALIAS SUDIN DHAVALIKAR,Maharashtrawadi Gomantak,PRADEEP PUNDALIK SHET,Bharatiya Janata Party,13680,Result Declared
Margao,31,DIGAMBAR VASANT KAMAT,Indian National Congress,SHARMAD RAITURKAR,Bharatiya Janata Party,4176,Result Declared
Mormugao,24,MILIND SAGUN NAIK,Bharatiya Janata Party,SANKALP AMONKAR,Indian National Congress,140,Result Declared
Navelim,33,LUIZINHO FALEIRO,Indian National Congress,AVERTANO FURTADO,Independent,2478,Result Declared
Nuvem,28,WILFRED D'SA,Indian National Congress,FRANCISCO XAVIER PACHECO,Goa Su-Raj Party,5660,Result Declared
Panaji,11,SIDHARTH SRIPAD KUNCALIENKER,Bharatiya Janata Party,ATANASIO J. MONSERRATE,United Goans Party,1069,Result Declared
Pernem ,2,AJGAONKAR MANOHAR TRIMBAK,Maharashtrawadi Gomantak,RAJENDRA ARLEKAR,Bharatiya Janata Party,6030,Result Declared
Ponda,21,RAVI SITARAM NAIK,Indian National Congress,SUNIL DESAI,Bharatiya Janata Party,3010,Result Declared
Poriem,18,PRATAPSINGH R RANE,Indian National Congress,VISHWAJIT KRISHNARAO RANE,Bharatiya Janata Party,4066,Result Declared
Porvorim,9,ROHAN KHAUNTE,Independent,GURUPRASAD R. PAWASKAR,Bharatiya Janata Party,4213,Result Declared
Priol,20,GOVIND GAUDE,Independent,PANDURANG ALIAS DEEPAK MADHAV DHAVALIKAR,Maharashtrawadi Gomantak,4686,Result Declared
Quepem,36,CHANDRAKANT (BABU) KAVLEKAR,Indian National Congress,PRAKASH SHANKAR VELIP,Bharatiya Janata Party,2592,Result Declared
Saligao,7,JAYESH VIDYADHAR SALGAONKAR,Goa Forward Party,DILIP PARULEKAR,Bharatiya Janata Party,2137,Result Declared
Sanguem,39,PRASAD S. GAONKAR,Independent,SUBHASH PHAL DESSAI,Bharatiya Janata Party,937,Result Declared
Sanquelim,17,DR. PRAMOD PANDURANG SAWANT,Bharatiya Janata Party,DHARMESH SAGLANI,Indian National Congress,2131,Result Declared
Sanvordem,38,DEEPAK PRABHU PAUSKAR,Maharashtrawadi Gomantak,GANESH CHANDRU GAONKAR,Bharatiya Janata Party,5221,Result Declared
Siolim,6,VINODA DATARAMA PALIENCAR,Goa Forward Party,DAYANAND RAYU MANDREKAR,Bharatiya Janata Party,1441,Result Declared
Siroda,22,SUBHASH ANKUSH SHIRODKAR,Indian National Congress,MAHADEV NARAYAN NAIK,Bharatiya Janata Party,4870,Result Declared
St. Andre,14,FRANCISCO SILVEIRA,Indian National Congress,RAMRAO SURYA NAIK WAGH,Bharatiya Janata Party,5070,Result Declared
St. Cruz,13,ANTONIO CAETANO  FERNANDES,Indian National Congress,HEMANT DINANATH GOLATKAR,Bharatiya Janata Party,642,Result Declared
Taleigao,12,JENNIFER MONSERRATE,Indian National Congress,DATTAPRASAD NAIK,Bharatiya Janata Party,2855,Result Declared
Tivim,4,NILKANTH RAMNATH HALARNKAR,Indian National Congress,KIRAN MOHAN KANDOLKAR,Bharatiya Janata Party,795,Result Declared
Valpoi,19,VISHWAJIT PRATAPSINGH RANE,Indian National Congress,SATYAVIJAY SUBRAI NAIK,Bharatiya Janata Party,5678,Result Declared
Vasco-da-gama,25,JOSE LUIS CARLOS ALMEIDA,Bharatiya Janata Party,KRISHNA (DAJI) V SALKAR,Independent,1351,Result Declared
Velim,35,FILIPE NERY RODRIGUES,Indian National Congress,BENJAMIN SILVA,Independent,5253,Result Declared
