Candidate,Party,Votes
FRANCISCO SILVEIRA,Indian National Congress,8087
RAMRAO SURYA NAIK WAGH,Bharatiya Janata Party,3017
JAGDISH UMAKANT BHOBE,Maharashtrawadi Gomantak,2393
DHAKU ARJUN MADKAIKAR,Independent,1285
RAMA GURUDAS KANKONKAR,Aam Aadmi Party,979
DATTARAM NAGUESH CHARI,Nationalist Congress Party,325
SIMAO ALEIXO CAIADO,Independent,143
SUNIL SAVLO KERKAR,Independent,97
LEOCARDIO A. D. MONTEIRO,Goa Su-Raj Party,47
ASHWIN MENINO ROSARIO,Independent,29
None of the Above,None of the Above,152
