Candidate,Party,Votes
FILIPE NERY RODRIGUES,Indian National Congress,10417
BENJAMIN SILVA,Independent,5164
CRUZ SILVA,Aam Aadmi Party,3423
VINAY TARI,Bharatiya Janata Party,1765
ANTHONY RODRIGUES,Goa Forward Party,1460
EDRICH CORREIA,Independent,335
JOSE FERNANDES,Independent,236
DOMNIC JOHN NORONHA,Goa Su-Raj Party,138
FREDERICK BORGES,Nationalist Congress Party,108
WILSON MAZARELLO,Independent,98
CONSTANCIO FERNANDES,Independent,79
CLIFFTON D'SOUZA,Ambedkarite Party of India,44
None of the Above,None of the Above,260
