Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Andro ,7,THOUNAOJAM SHYAMKUMAR,Indian National Congress,DR. NIMAICHAND LUWANG,Bharatiya Janata Party,7986,Result Declared
Bishnupur ,26,KONTHOUJAM GOVINDAS,Indian National Congress,KONTHOUJAM KRISHNA KUMAR SINGH,Bharatiya Janata Party,5278,Result Declared
Chandel (st) ,41,LETPAO HAOKIP,National People's Party,TS WARNGAM,Independent,2125,Result Declared
Chingai (st) ,45,KHASHIM VASHUM,Naga Peoples Front,SWORD VASHUM,Bharatiya Janata Party,7650,Result Declared
Churachandpur (ST) ,58,V. HANGKHANLIAN,Bharatiya Janata Party,PHUNGZATHANG TONSING,National People's Party,614,Result Declared
Heingang (GEN),2,NONGTHOMBAM BIREN SINGH,Bharatiya Janata Party,PANGEIJAM SARATCHANDRA SINGH,All India Trinamool Congress,1206,Result Declared
Heirok ,33,THOKCHOM RADHESHYAM SINGH,Bharatiya Janata Party,MOIRANGTHEM OKENDRO,Indian National Congress,1647,Result Declared
Henglep (ST) ,57,T. THANGZALAM HAOKIP,Bharatiya Janata Party,T. MANGA VAIPHEI,Indian National Congress,268,Result Declared
Hiyanglam ,38,DR. RADHESHYAM YUMNAM,Bharatiya Janata Party,ELANGBAM DWIJAMANI SINGH,Indian National Congress,1725,Result Declared
Jiribam ,40,ASHAB UDDIN,Independent,THOUDAM DEBENDRA SINGH,Indian National Congress,1650,Result Declared
Kakching ,37,YENGKHOM SURCHANDRA SINGH,Indian National Congress,M. RAMESHWAR SINGH (RAMAY),Bharatiya Janata Party,2041,Counting In Progress
Kangpokpi (Gen) ,50,NEMCHA KIPGEN,Bharatiya Janata Party,KHARGA TAMANG,Independent,2297,Result Declared
Karong (st) ,47,D.D. THAISII,Indian National Congress,R. YUH JONATHAN TAO,Bharatiya Janata Party,4293,Result Declared
Keirao ,6,LOUREMBAM RAMESHWOR MEETEI,Bharatiya Janata Party,MD. NASIRUDDIN KHAN,Independent,538,Result Declared
Keishamthong ,12,LANGPOKLAKPAM JAYANTAKUMAR SINGH,National People's Party,LAISOM IBOMCHA SINGH,Indian National Congress,3261,Result Declared
Khangabok ,35,SURJAKUMAR OKRAM,Indian National Congress,THOKCHOM JADUMANI SINGH,Bharatiya Janata Party,9452,Result Declared
Khundrakpam (GEN),1,THOKCHOM LOKESHWAR SINGH,Indian National Congress,THANGJAM MOHENDRO SINGH,Bharatiya Janata Party,3059,Result Declared
Khurai (GEN),3,LEISHANGTHEM SUSINDRO MEITEI,Bharatiya Janata Party,DR. NGAIRANGBAM BIJOY SINGH,Indian National Congress,1944,Result Declared
Konthoujam ,18,DR. SAPAM RANJAN SINGH,Bharatiya Janata Party,KONTHOUJAM SHARAT SINGH,Indian National Congress,2772,Result Declared
Kshetrigao ,4,NAHAKPAM INDRAJIT SINGH,Bharatiya Janata Party,MD. AMIN SHAH,Indian National Congress,380,Result Declared
Kumbi ,29,SANASAM BIRA SINGH,Indian National Congress,NINGTHOUJAM MANGI,Bharatiya Janata Party,1311,Result Declared
Lamlai ,8,KSH. BIREN SINGH,Indian National Congress,KHONGBANTABAM IBOMCHA,Bharatiya Janata Party,852,Result Declared
Lamsang ,17,SOROKHAIBAM RAJEN SINGH,Bharatiya Janata Party,WANGKHEIMAYUM BRAJABIDHU SINGH,Indian National Congress,1280,Result Declared
Langthabal ,20,KARAM SHYAM,Lok Jan Shakti Party,O. JOY SINGH,Bharatiya Janata Party,2331,Result Declared
Lilong ,30,MUHAMMAD ABDUL NASIR,Indian National Congress,Y. ANTAS KHAN,Independent,1268,Result Declared
Mao (st) ,48,LOSII DIKHO,Naga Peoples Front,WOBA JORAM,Bharatiya Janata Party,15414,Result Declared
Mayang imphal ,23,KONGKHAM ROBINDRO SINGH,Bharatiya Janata Party,DR. KHUMUJAM RATANKUMAR SINGH,Indian National Congress,3094,Result Declared
Moirang ,27,PUKHREM SHARATCHANDRA SINGH,Bharatiya Janata Party,MAIREMBAM PRITHVIRAJ SINGH,Indian National Congress,375,Result Declared
Nambol ,24,NAMEIRAKPAM LOKEN SINGH,Indian National Congress,THOUNAOJAM CHAOBA,Bharatiya Janata Party,280,Result Declared
Naoriya pakhanglakpa ,21,SOIBAM SUBHASCHANDRA SINGH,Bharatiya Janata Party,R.K. ANAND,Indian National Congress,1615,Result Declared
Nungba (ST) ,54,GAIKHANGAM,Indian National Congress,ADIM PAMEI,Bharatiya Janata Party,5147,Result Declared
Oinam ,25,LAISHRAM RADHAKISHORE SINGH,Bharatiya Janata Party,DR. IRENGBAM IBOHALBI SINGH,Indian National Congress,843,Result Declared
Patsoi ,19,KM. AK. MIRABAI DEVI,Indian National Congress,SAPAM KUNJAKESWOR (KEBA) SINGH,North East India Development Party,114,Result Declared
Phungyar (st) ,43,K. LEISHIYO,Naga Peoples Front,SOMI AWUNGSHI,Bharatiya Janata Party,4778,Result Declared
Sagolband ,11,RAJKUMAR IMO SINGH,Indian National Congress,DR. KHWAIRAKPAM LOKEN SINGH,Bharatiya Janata Party,19,Result Declared
Saikot (ST) ,59,T. N. HAOKIP,Indian National Congress,PAOKHOLAL HAOKIP,Bharatiya Janata Party,5101,Result Declared
Saikul (st) ,46,YAMTHONG HAOKIP,Indian National Congress,CHUNGKHOKAI DOUNGEL,Nationalist Congress Party,3261,Result Declared
Saitu (ST) ,51,NGAMTHANG HAOKIP,Indian National Congress,HAOKHOLET KIPGEN,Bharatiya Janata Party,3817,Result Declared
Sekmai ,16,HEIKHAM DINGO SINGH,Bharatiya Janata Party,KHWAIRAKPAM DEVENDRO SINGH,Indian National Congress,2532,Result Declared
Singhat (ST) ,60,GINSUANHAU,Indian National Congress,CHINLUNTHANG,Bharatiya Janata Party,1162,Result Declared
Singjamei ,13,YUMNAM KHEMCHAND SINGH,Bharatiya Janata Party,IRENGBAM HEMOCHANDRA SINGH,Indian National Congress,1834,Result Declared
