Candidate,Party,Votes
YAMTHONG HAOKIP,Indian National Congress,8677
CHUNGKHOKAI DOUNGEL,Nationalist Congress Party,5416
PAOJALET TOUTHANG,Bharatiya Janata Party,4439
DOUKHOMANG KHONGSAI,North East India Development Party,4008
CH. AJANG KHONGSAI,National People's Party,2993
THANGJAMANG HAOKIP,Lok Jan Shakti Party,2803
L. SAMUEL KOM,Republican Party of India (A),464
MANGVUNG THANGBOI HAOKIP,Naga Peoples Front,304
LETJAM SINGSON,Manipur National Democratic Front,67
HORNGAM KEISHING,All India Trinamool Congress,61
KENN RAIKHAN,Independent,45
None of the Above,None of the Above,45
