Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Abohar,81,ARUN NARANG,Bharatiya Janata Party,SUNIL JAKHAR,Indian National Congress,3279                                              ,Result Declared
Adampur ,38,PAWAN KUMAR TINU,Shiromani Akali Dal,MOHINDER SINGH KAYPEE,Indian National Congress,7699                                              ,Result Declared
Ajnala ,11,HARPARTAP SINGH,Indian National Congress,AMARPAL SINGH BONY AJNALA,Shiromani Akali Dal,18713                                             ,Result Declared
Amargarh ,106,SURJIT SINGH DHIMAN,Indian National Congress,IQBAL SINGH JHUNDAN,Shiromani Akali Dal,11879                                             ,Result Declared
Amloh ,56,RANDEEP SINGH,Indian National Congress,GURPREET SINGH RAJU KHANNA,Shiromani Akali Dal,3946                                              ,Result Declared
Amritsar Central,17,OM PARKASH SONI,Indian National Congress,TARUN CHUGH,Bharatiya Janata Party,21116                                             ,Result Declared
Amritsar East,18,NAVJOT SINGH SIDHU,Indian National Congress,RAJESH KUMAR HONEY,Bharatiya Janata Party,42809                                             ,Result Declared
Amritsar North,15,SUNIL DUTTI,Indian National Congress,ANIL JOSHI,Bharatiya Janata Party,6497                                              ,Counting In Progress
Amritsar South,19,INDERBIR SINGH BOLARIA,Indian National Congress,INDERBIR SINGH NIJJAR,Aam Aadmi Party,22658                                             ,Result Declared
Amritsar West,16,RAJ KUMAR VERKA,Indian National Congress,RAKESH GILL,Bharatiya Janata Party,26847                                             ,Result Declared
Anandpur Sahib,49,KANWAR PAL SINGH,Indian National Congress,DR. PARMINDER SHARMA,Bharatiya Janata Party,23881                                             ,Result Declared
Atam Nagar,62,SIMARJEET SINGH BAINS,Lok Insaaf Party,KAMAL JIT SINGH KARWAL,Indian National Congress,16913                                             ,Result Declared
Attari ,20,TARSEM SINGH D.C.,Indian National Congress,GULZAR SINGH RANIKE,Shiromani Akali Dal,10202                                             ,Result Declared
Baba Bakala ,25,SANTOKH SINGH,Indian National Congress,DALBIR SINGH TONG,Aam Aadmi Party,6587                                              ,Result Declared
Balachaur,48,DARSHAN LAL,Indian National Congress,NAND LAL,Shiromani Akali Dal,19640                                             ,Result Declared
Balluana ,82,NATHU RAM,Indian National Congress,PARKASH SINGH BHATTI,Shiromani Akali Dal,15449                                             ,Result Declared
Banga,46,SUKHWINDER KUMAR,Shiromani Akali Dal,HARJOT,Aam Aadmi Party,1893                                              ,Result Declared
Barnala ,103,GURMEET SINGH MEET HAHER,Aam Aadmi Party,KEWAL SINGH DHILLON,Indian National Congress,2432                                              ,Result Declared
Bassi Pathana ,54,GURPREET SINGH,Indian National Congress,SANTOKH SINGH,Aam Aadmi Party,10046                                             ,Result Declared
