Candidate,Party,Votes
HARPARTAP SINGH,Indian National Congress,61378
AMARPAL SINGH BONY AJNALA,Shiromani Akali Dal,42665
RAJPREET SINGH,Aam Aadmi Party,12749
BALWINDER SINGH,Bahujan Samaj Party,860
RATTAN SINGH,Independent,502
GURNAM SINGH,Revolutionary Marxist Party of India,411
DHANWANT SINGH,Independent,404
AMRIK SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),380
NIRMAL SINGH,Independent,308
PAWAN SAREEN,Shivsena,264
RABART MASIH,Aapna Punjab Party,262
SATNAM SINGH,Bahujan Samaj Party  (Ambedkar),218
KULWINDER SINGH,Independent,168
SUKHDEV SINGH BABA,Independent,145
HARPREET SINGH,Bahujan Mukti Party,132
None of the Above,None of the Above,641
