Candidate,Party,Votes
SURJIT SINGH DHIMAN,Indian National Congress,50994
IQBAL SINGH JHUNDAN,Shiromani Akali Dal,39115
PROF. JASWANT SINGH GAJJANMAJRA,Lok Insaaf Party,36063
PRITAM SINGH,Communist Party of India,696
DEVINDER KAUR CHAUNDA,Independent,637
GURDARSHAN SINGH,Democratic Swaraj Party,600
KARNAIL SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),600
MANJINDER SINGH,Independent,578
TARSEM SINGH,Bahujan Samaj Party,534
KULWANT SINGH MOHALI,Independent,349
HAPRINDER SINGH,Independent,286
AMAR SINGH,Independent,251
None of the Above,None of the Above,850
