Candidate,Party,Votes
RANDEEP SINGH,Indian National Congress,39669
GURPREET SINGH RAJU KHANNA,Shiromani Akali Dal,35723
GURPREET SINGH BHATTI,Aam Aadmi Party,30573
JAGMEET SINGH SAHOTA,Independent,3187
LAKHVIR SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1144
RAM SINGH,Bahujan Samaj Party,942
NAVAB ALI,Independent,432
RAJINDER SINGH,Independent,359
SANJIV KUMAR PILOT,Hindustan Shakti Sena,222
GURPREET SINGH BHATTI AMAMPURA,Independent,213
GURJINDER SINGH,Jai Jawan Jai Kisan Party,149
None of the Above,None of the Above,841
