Candidate,Party,Votes
SUNIL DUTTI,Indian National Congress,59212
ANIL JOSHI,Bharatiya Janata Party,44976
MANISH AGGARWAL,Aam Aadmi Party,10966
MANJIT SINGH,Bahujan Samaj Party,603
ROOP LAL,Independent,205
SUSHIL KUMAR,Akhil Bharatiya Sangharsh Dal,203
PARBODH CHANDER BALI,Independent,184
BAL KRISHAN SHARMA,Independent,162
RAHUL KHOSLA,Hindustan Shakti Sena,155
GAURAV MEHRA,Shiromani Lok Dal Party,151
MANISH SHRIDHAR,Aapna Punjab Party,133
SARABJIT SINGH,Independent,103
JEEWAN,Independent,59
None of the Above,None of the Above,972
