Candidate,Party,Votes
INDERBIR SINGH BOLARIA,Indian National Congress,47581
INDERBIR SINGH NIJJAR,Aam Aadmi Party,24923
GURPARTAP SINGH TIKKA,Shiromani Akali Dal,16596
MANINDER PAL SINGH PALASOUR,Independent,1343
LAKHWINDER SINGH,Communist Party of India,726
SUSHIL KUMAR,Bahujan Samaj Party,446
DR. SUBA SINGH,Democratic Swaraj Party,249
KULDIP SINGH,Aapna Punjab Party,219
SARABJIT SINGH,Independent,219
DEEPAK,Independent,141
DALVIR KAUR,Independent,110
AMARJIT SINGH,Independent,85
None of the Above,None of the Above,723
