Candidate,Party,Votes
RAJ KUMAR VERKA,Indian National Congress,52271
RAKESH GILL,Bharatiya Janata Party,25424
BALWINDER SINGH SAHOTA,Aam Aadmi Party,24731
GURNAM KAUR,Communist Party of India,1725
JASWANT SINGH,Bahujan Samaj Party,847
SATNAM SINGH,Akhil Bharatiya Sangharsh Dal,409
BALWINDER SINGH,Democratic Swaraj Party,407
LAKHBIR SINGH,Shiromani Lok Dal Party,292
KULWANT SINGH,Aapna Punjab Party,255
ANKUSH,Independent,202
SHAM LAL GANDHIWADI,Democratic Congress Party,177
None of the Above,None of the Above,810
