Candidate,Party,Votes
KANWAR PAL SINGH,Indian National Congress,60800
DR. PARMINDER SHARMA,Bharatiya Janata Party,36919
SANJEEV GAUTAM,Aam Aadmi Party,30304
NUTAN KUMAR URF NITIN NANDA,Independent,2092
GURCHARAN SINGH KHALSA,Bahujan Samaj Party,1442
MOHINDER SINGH,Communist Party of India  (Marxist),1026
PRITAM SINGH BHARATGARH,Independent,602
SUBHASH CHANDER SHARMA,Punjab Democratic Party,518
HARBHJN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),517
None of the Above,None of the Above,858
