Candidate,Party,Votes
TARSEM SINGH D.C.,Indian National Congress,55335
GULZAR SINGH RANIKE,Shiromani Akali Dal,45133
JASWINDER SINGH JAHANGIR,Aam Aadmi Party,22558
GURDEEP SINGH,Communist Party of India,2581
SUKHWANTJIT KAUR,Bahujan Samaj Party,1088
SARBJIT KUMAR,Bahujan Samaj Party  (Ambedkar),492
MANJIT SINGH,Shiromani Lok Dal Party,449
JAGTAR SINGH GILL,Democratic Swaraj Party,431
MANGAT SINGH,Independent,426
MOHINDER SINGH,Democratic Party of India (Ambedkar),385
HARDEV SINGH,Aapna Punjab Party,340
None of the Above,None of the Above,900
