Candidate,Party,Votes
MANPREET SINGH BADAL,Indian National Congress,63942
DEEPAK BANSAL,Aam Aadmi Party,45462
SARUP CHAND SINGLA,Shiromani Akali Dal,37177
SURESH KUMAR,Bahujan Samaj Party,913
SATISH KUMAR,Independent,526
PARVEEN HITESHI,Shivsena,418
SANT LAL,Bahujan Mukti Party,382
BIMLA RANI,Independent,337
JATINDER ROY KHATTAR,Aapna Punjab Party,295
GIAN CHAND BANSAL,Democratic Swaraj Party,258
SUKHCHAIN SINGH,Hindustan Shakti Sena,212
HARVINDER SINGH HARRY,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),157
HARDEEP KUMAR SHARMA,Jai Jawan Jai Kisan Party,105
None of the Above,None of the Above,1208
