Candidate,Party,Votes
PIRMAL SINGH DHAULA,Aam Aadmi Party,57095
SANT BALVIR SINGH GHUNAS,Shiromani Akali Dal,36311
JOGINDER SINGH,Indian National Congress,26615
PARAMJIT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2095
BAGGA SINGH,Independent,1187
KARAMJIT SINGH,Bahujan Samaj Party,941
SAVARAN SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),628
RAJINDER KAUR MEEMSA,Independent,527
GORA SINGH,Independent,468
JAGDEEP SINGH,Communist Party of India (Marxist-Leninist) Red Star,376
GURMIT SINGH,Aapna Punjab Party,219
None of the Above,None of the Above,836
