Candidate,Party,Votes
JOGINDER PAL,Indian National Congress,67865
SEEMA KUMARI,Bharatiya Janata Party,40369
LAL CHAND KATARUCHAK,Revolutionary Marxist Party of India,13353
AMARJEET SINGH,Aam Aadmi Party,3767
MAHASHA VINOD KUMAR,Independent,750
CHAIN SINGH,Bahujan Samaj Party,695
BALBIR RAM FATEHPURIA,Independent,657
MASTER SAMPURAN SINGH SAIDIPUR,All India Trinamool Congress,643
BALBIR SINGH,Hindustan Utthan Party,465
LUBHAYA RAM,Independent,458
ANIKA RAY,Aapna Punjab Party,367
DHARMINDER KUMAR,Independent,358
SURINDER KUMAR KALOTRA,Independent,302
DALIP SINGH SURAJVANSHI ADVOCATE,Independent,221
BOBBY SANDHU,Shivsena,219
GEETA,Independent,148
None of the Above,None of the Above,454
