Candidate,Party,Votes
SUKHPAL SINGH KHAIRA,Aam Aadmi Party,48873
YUVRAJ BHUPINDER SINGH,Shiromani Akali Dal,40671
RANJIT SINGH RANA,Indian National Congress,5923
RAJINDER SINGH FAUJI,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),708
SATPAL,Bahujan Samaj Party,513
GURBINDER SINGH,Aapna Punjab Party,403
GURDEEP SINGH,Democratic Bharatiya Samaj Party,176
SATPAL KIMTI,Democratic Party of India (Ambedkar),170
RAMAN KUMAR,Nationalist Congress Party,124
None of the Above,None of the Above,379
