Candidate,Party,Votes
BUDH RAM,Aam Aadmi Party,52265
RANJIT KAUR BHATTI,Indian National Congress,50989
NISHAN SINGH,Shiromani Akali Dal,50477
KRISHAN SINGH,Communist Party of India,1986
BHAGWANT SINGH SAMAO,Communist Party of India  (Marxist-Leninist)  (Liberation),1601
RANJIT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1383
SHER SINGH,Bahujan Samaj Party,1074
KALA SINGH,Independent,651
KIRPAL SINGH,Aapna Punjab Party,549
LACHHMAN SINGH MAL SINGH WALA,All India Trinamool Congress,491
None of the Above,None of the Above,778
