Candidate,Party,Votes
HARVINDER SINGH PHOOLKA,Aam Aadmi Party,58923
MANPREET SINGH AYALI,Shiromani Akali Dal,54754
MAJOR SINGH BHAINI,Indian National Congress,28571
TARSEM JODHAN,Democratic Swaraj Party,888
JASWINDER SINGH,Bahujan Samaj Party,652
MANPREET SINGH AKALI,Independent,564
JOGINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),460
KULWANT SINGH,Aapna Punjab Party,263
GURSHARAN SINGH JASSAL,Jammu & Kashmir National Panthers Party,231
None of the Above,None of the Above,981
