Candidate,Party,Votes
ARUN DOGRA,Indian National Congress,56527
SUKHJIT KAUR,Bharatiya Janata Party,38889
BALBIR KAUR,Aam Aadmi Party,16330
JAGMOHAN SINGH,Independent,9926
JAGPREET SINGH SAHI,Bahujan Samaj Party,3180
PARAMJIT,Independent,1310
BALDEV SINGH,Independent,1024
LAWRENCE CHAUDHARY,Aapna Punjab Party,968
SUKHA SINGH,Communist Party of India,849
CHARANJIT SINGH,Democratic Party of India (Ambedkar),251
SARBJIT SINGH,Hindustan Shakti Sena,244
MANJIT SINGH,Sada Punjab Party,128
None of the Above,None of the Above,1193
