Candidate,Party,Votes
SUKHJIT SINGH,Indian National Congress,63238
TOTA SINGH,Shiromani Akali Dal,41020
DALJIT SINGH,Aam Aadmi Party,34615
SURAT SINGH,Communist Party of India,1325
BALRAJ SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1089
JAGGA SINGH,Bahujan Samaj Party,456
VIKAS,Independent,312
BALJIT SINGH,Indian Krantikari Lehar,291
SUKHPAL SINGH,Aapna Punjab Party,258
MANJIT KAUR,Independent,197
GURDEEP SINGH,Bahujan Mukti Party,186
None of the Above,None of the Above,1009
