Candidate,Party,Votes
JAI KRISHAN,Aam Aadmi Party,41720
SURINDER SINGH HEER,Shiromani Akali Dal,40070
LOV KUMAR GOLDY,Indian National Congress,31909
BAKHSHISH SINGH,Bahujan Samaj Party,6031
HARBHAJAN SINGH,Communist Party of India  (Marxist),2217
SURJIT SINGH RANDHAWA,Aapna Punjab Party,468
JAI GOPAL DHIMAN,Independent,412
PASHORA SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),408
MANJIT SINGH,All India Trinamool Congress,379
SUBHASH CHANDER DHIR,Independent,366
BISHAN DASS,Bharatrashtra Democratic Party,282
NIMISHA MEHTA,Independent,275
None of the Above,None of the Above,1121
