Candidate,Party,Votes
SUNDER SHAM ARORA,Indian National Congress,49951
TIKSHAN SUD,Bharatiya Janata Party,38718
PARAMJIT SINGH SACHDEVA,Aam Aadmi Party,27481
SURINDER KUMAR,Bahujan Samaj Party,4442
MOHINDER SINGH,Aapna Punjab Party,293
MANINDER PAL,Democratic Swaraj Party,278
OM PARKASH JAKHU,Independent,278
AJIT RAM,Bharatrashtra Democratic Party,235
SANTOKH SINGH,Independent,210
PARAMJIT SINGH,Hindusthan Nirman Dal,163
JASPREET KAUR,Democratic Party of India (Ambedkar),130
None of the Above,None of the Above,1000
