Candidate,Party,Votes
BALDEV SINGH,Aam Aadmi Party,45344
MOHAMMAD SADIQUE,Indian National Congress,35351
MANJIT SINGH @ SUBA SINGH,Shiromani Akali Dal,33064
BALVIR SINGH,Communist Party of India,1298
KIKAR SINGH,Bahujan Samaj Party,1221
GURDEEP SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),785
HARPAL SINGH,Aapna Punjab Party,636
AVTAR SINGH SAHOTA,All India Trinamool Congress,448
GURPREET SINGH,Independent,387
PYARA SINGH,Republican Party of India (A),337
JASWINDER SINGH,Independent,296
None of the Above,None of the Above,677
