Candidate,Party,Votes
SUKHBIR SINGH BADAL,Shiromani Akali Dal,75271
BHAGWANT MANN,Aam Aadmi Party,56771
RAVNEET SINGH BITTU,Indian National Congress,31539
SURINDER SINGH,Communist Party of India,1743
BALWINDER SINGH,Independent,653
MALKIT SINGH,Bahujan Samaj Party,528
BAKHSHISH SINGH,Aapna Punjab Party,366
MUKHTIAR SINGH,Independent,351
GURMIT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),350
SWARAN SINGH ROCKY,Independent,196
JOGINDER SINGH,Independent,169
None of the Above,None of the Above,1112
