Candidate,Party,Votes
PARGAT SINGH POWAR,Indian National Congress,59349
SARABJIT SINGH MAKKAR,Shiromani Akali Dal,30225
HARKRISHAN SINGH WALIA,Aam Aadmi Party,25912
Amrik Bagri,Bahujan Samaj Party,7987
DHARAM PAL,Bahujan Samaj Party  (Ambedkar),503
HARVINDER SINGH,Democratic Party of India,440
GURMUKH SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),346
MANJIT SINGH,Bharatiya Republican Paksha,325
NARINDER SINGH,Aapna Punjab Party,279
None of the Above,None of the Above,1445
