Candidate,Party,Votes
RAJINDER BERI,Indian National Congress,55518
MANORANJAN KALIA,Bharatiya Janata Party,31440
DR. SANJIV SHARMA,Aam Aadmi Party,15269
MADAN BHATTI,Bahujan Samaj Party,1261
TARANDIP SINGH,All India Trinamool Congress,529
PARMINDER SINGH CHEEMA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),312
ROHIT JOSHI,Shivsena,309
RANVIR SINGH,Nationalist Congress Party,271
RAJESHWAR KUMAR,Independent,254
VIKRAM KULJIT SINGH,Krantikari Yuva Party,140
None of the Above,None of the Above,1044
