Candidate,Party,Votes
AVTAR SINGH JUNIOR,Indian National Congress,69715
K D BHANDARI,Bharatiya Janata Party,37424
GULSHAN SHARMA,Aam Aadmi Party,13386
HARDWARI LAL,Bahujan Samaj Party,1506
GAURAV LUTHRA,Independent,240
SURINDER SINGH ARORA,Nationalist Congress Party,219
NARESH GUPTA,Aapna Punjab Party,208
ANTARJOT SINGH,Krantikari Yuva Party,198
ANIL KUMAR SINGH,Independent,157
KEWAL BHATTI,Bahujan Mukti Party,153
KEWAL SINGH BHASULLA,Hindustan Shakti Sena,103
None of the Above,None of the Above,1182
