Candidate,Party,Votes
CHAUDHARY SURINDER SINGH,Indian National Congress,46729
SETH SAT PAUL,Shiromani Akali Dal,40709
CHANDER KUMAR GREWAL,Aam Aadmi Party,29981
BALWINDER KUMAR,Bahujan Samaj Party,5208
KASHMIR SINGH GHUGSHORE,Independent,1383
LUBHAYA RAM THAPAR,Independent,290
GURMUKH SINGH  KHOSLA,Democratic Bharatiya Samaj Party,270
EX. SUB. HARI SINGH,Independent,246
PARAMJOT GILL,Bahujan Samaj Party  (Ambedkar),167
USHA MAHI,Independent,164
BALVIR KAUR,Rashtriya Krantikari Samajwadi Party,117
None of the Above,None of the Above,1086
