Candidate,Party,Votes
GURKIRAT SINGH KOTLI,Indian National Congress,55690
ANIL DUTT PHALLY,Aam Aadmi Party,35099
RANJIT SINGH TALWANDI,Shiromani Akali Dal,31845
SHASHI VARDHAN,Bahujan Samaj Party,1202
VIJAY DIAMOND,Aapna Punjab Party,451
RAJIV VIJAN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),446
CHANDER DEV SINGH,Independent,393
DHARAMJIT SINGH,Sada Punjab Party,270
BHUPINDER SINGH,Independent,174
BALJIT SINGH SANDHU,Revolutionary Socialist Party,162
None of the Above,None of the Above,850
