Candidate,Party,Votes
KANWAR SANDHU,Aam Aadmi Party,54171
JAGMOHAN SINGH KANG,Indian National Congress,52159
RANJIT SINGH GILL,Shiromani Akali Dal,46807
HARBHAJAN SINGH,Bahujan Samaj Party,2619
JAGWINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),818
SUDESH KUMAR,Aapna Punjab Party,631
PARAMJIT SINGH PADDA,Independent,350
SANJEEV KUMAR,Independent,349
GURJEET SINGH,Punjab Democratic Party,274
SURJIT SINGH,Jai Jawan Jai Kisan Party,241
None of the Above,None of the Above,1059
