Candidate,Party,Votes
BHARAT BHUSHAN (ASHU),Indian National Congress,66627
AHBAAB SINGH GREWAL,Aam Aadmi Party,30106
KAMAL CHATLY,Bharatiya Janata Party,22620
KUNAL,Bahujan Samaj Party,456
ARUN KUMAR,Nationalist Congress Party,272
JAGROOP SINGH KARARA,Republican Party of India (A),251
ARSHDEEP SINGH,Independent,247
BALDEV RAJ KATNA,Independent,211
NAVPREET SINGH BEDI,Independent,199
BALKAUR SINGH GILL,Aapna Punjab Party,134
KRISHAN LAL BABBAR,Independent,109
RAM KUMAR,Lokpriya Samaj Party,92
MANDEEP SINGH DHALIWAL,Swabhiman Party,75
VAID RAM SINGH DEEPAK,Bahujan Mukti Party,50
None of the Above,None of the Above,1066
