Candidate,Party,Votes
RAZIA SULTANA,Indian National Congress,58982
MOHAMMAD OWAIS,Shiromani Akali Dal,46280
MOHAMAD ARSHAD,Aam Aadmi Party,17635
SHAMSHAD ALI,Bahujan Samaj Party,665
MAHMOOD AHMED THIND,Indian Union Muslim League,524
DHARMINDER SINGH,Independent,307
TANVEER AHMED,Independent,302
PARVEEN NUSRAT,All India Trinamool Congress,297
SAIFUL ISLAM,Independent,267
MOHD MUKARRAM SAIFY,Independent,203
MAKSOOD UL HAK,Nationalist Congress Party,190
None of the Above,None of the Above,603
