Candidate,Party,Votes
HARJOT KAMAL SINGH,Indian National Congress,52357
RAMESH GROVER,Aam Aadmi Party,50593
BARJINDER SINGH MAKHAN BRAR,Shiromani Akali Dal,36587
MANJEET SINGH MAAN,Independent,1801
KULWANT SINGH,Bahujan Samaj Party,858
SANDHURA SINGH DAULATPURA,All India Trinamool Congress,569
AMAR KUMAR,Shivsena,488
REKHA KAPOOR,Independent,389
BHUPINDER KAUR,Independent,348
PARAMJIT,Independent,310
SHRIRAM DANWAL,Hindustan Shakti Sena,202
JAGTAR SINGH,Independent,176
None of the Above,None of the Above,785
