Candidate,Party,Votes
RAJNISH KUMAR BABBI,Indian National Congress,56787
ARUNESH KUMAR,Bharatiya Janata Party,33661
JANGI LAL MAHAJAN,Independent,20542
SULAKHAN SINGH,Aam Aadmi Party,17005
KARAMJIT SINGH,Bahujan Samaj Party,2718
GURVATAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1227
DHARMINDER SINGH,Revolutionary Marxist Party of India,1173
RAJ MAL,Aapna Punjab Party,601
SUMITRI DEVI,Shivsena,524
BHAJAN SINGH,Bharatrashtra Democratic Party,405
KULDEEP KUMAR,Hindustan Shakti Sena,240
None of the Above,None of the Above,1018
