Candidate,Party,Votes
MANJIT  SINGH,Aam Aadmi Party,67313
RAJWINDER  KAUR,Indian National Congress,39739
S.R. KALER,Shiromani Akali Dal,34865
MOHINDER  SINGH,Communist Party of India,4196
KUBDEEP SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),987
KEWAL SINGH,Bahujan Samaj Party,823
BHARBHUR SINGH,Independent,609
MANJIT KAUR,Independent,563
JARMANJIT SINGH,Democratic Swaraj Party,518
RANJEET  SINGH,Independent,379
KARAM  CHAND,Independent,371
None of the Above,None of the Above,1010
