Candidate,Party,Votes
BRAHM MOHINDRA,Indian National Congress,68891
KARANVIR SINGH TIWANA,Aam Aadmi Party,41662
SATBIR SINGH KHATRA,Shiromani Akali Dal,30784
UTTAM SINGH BAGRI,Communist Party of India,1125
SUKH LAL,Bahujan Samaj Party,1119
SHAMINDER KAUR,Aapna Punjab Party,388
JASVIR KAUR,Independent,297
RESHAM KAHLON,Independent,280
JASBIR SINGH,Independent,273
RANJIT KAUR,Bharatiya Gaon Taj Dal,245
SHANKAR BHARADWAJ,Shivsena,234
BHARATDEEP THAKUR,Hindustan Shakti Sena,206
SOHAN LAL SHARMA,Samaj Adhikar Kalyan Party,155
None of the Above,None of the Above,1009
