Candidate,Party,Votes
LAKHVIR SINGH LAKHA,Indian National Congress,57776
GURPREET SINGH LAPRAN,Aam Aadmi Party,36280
ISHER SINGH MEHARBAN,Shiromani Akali Dal,33044
GURVINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),831
DALBARA SINGH,Bahujan Samaj Party,618
ADVOCATE INDERJIT SINGH,Democratic Swaraj Party,402
KARAN KANGRA,Independent,363
CAPTAIN RAMPAL SINGH,Aapna Punjab Party,347
SANDEEP SINGH,All India Trinamool Congress,328
JAGTAR SINGH,Independent,227
SAMSER SINGH,Independent,186
KULWANT SINGH CHEEMA,Nationalist Congress Party,186
PREM SINGH,Independent,156
None of the Above,None of the Above,702
