Candidate,Party,Votes
FATEHJANG SINGH BAJWA,Indian National Congress,62596
SEWA SINGH,Shiromani Akali Dal,50859
KANWAL PREET SINGH,Aam Aadmi Party,14657
MOHINDER SINGH,Bahujan Samaj Party,518
GURBACHAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),436
KULWANT SINGH,Independent,406
ABHIJIT DUGAL,Independent,303
VIJAY KUMAR,Communist Party of India  (Marxist-Leninist)  (Liberation),293
CHARANJIT KAUR,Independent,276
ROHIT GUPTA,Hindustan Shakti Sena,232
KULWANT SINGH,Aapna Punjab Party,215
RAMAN KUMAR,Hindustan Utthan Party,85
None of the Above,None of the Above,953
