Candidate,Party,Votes
HARDIAL SINGH KAMBOJ,Indian National Congress,59107
ASHUTOSH JOSHI,Aam Aadmi Party,26542
HARJIT SINGH GREWAL,Bharatiya Janata Party,19151
JAGDISH KUMAR,Independent,15073
NIRMALJIT SINGH,Independent,3939
RAVINDER JAIN,Bahujan Samaj Party,1126
SOBHA SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),684
MAHESH KUMAR,Independent,443
DALBIR SINGH,Independent,429
RAJINDER KUMAR,Aapna Punjab Party,282
SHER SINGH,Jai Jawan Jai Kisan Party,271
None of the Above,None of the Above,1026
