Candidate,Party,Votes
GURPREET SINGH KANGAR,Indian National Congress,55269
SIKANDER SINGH MALUKA,Shiromani Akali Dal,44884
MANJIT SINGH SIDHU,Aam Aadmi Party,32693
PARAMJIT SINGH SIDHU,Independent,666
AVTAR SINGH,Bahujan Samaj Party,648
MANJIT SINGH,Independent,579
GURPREET SINGH MEHRAJ,Independent,350
JASWANT SINGH SIDHU,Independent,347
SIKANDER SINGH,Independent,255
CHARAN SINGH,Independent,182
GURPREET SINGH,Independent,84
KARAMJIT SINGH,Independent,77
GURPREET SINGH,Independent,75
SIMARJIT SINGH,Independent,53
None of the Above,None of the Above,445
