Candidate,Party,Votes
BALBIR SINGH SIDHU,Indian National Congress,66844
NARINDER SINGH,Aam Aadmi Party,38971
TEJINDER PAL SINGH,Shiromani Akali Dal,30031
SARBJIT SINGH,Bahujan Samaj Party,1027
AMIT SHARMA,Hindustan Shakti Sena,370
PARNEET SINGH PANDHER,Independent,340
BALWINDER SINGH,Democratic Swaraj Party,328
JASWINDER SINGH,All India Trinamool Congress,316
KAMALJOT KAUR,Independent,314
GURKIRPAL SINGH MANN,Punjab Democratic Party,284
MAHINDER PAL SINGH,Aapna Punjab Party,255
KULJIT SINGH,Independent,230
PARAMJIT SINGH PADDA,Independent,168
KISHOR KUMAR PAL,Bahujan Mukti Party,100
KRISHAN GOPAL SHARMA,Bharat (Integrated) Rakshak Party,86
None of the Above,None of the Above,1139
