Candidate,Party,Votes
SHARANJIT SINGH DHILLON,Shiromani Akali Dal,63184
SATWINDER KAUR BITTI,Indian National Congress,58633
HARJOT SINGH BAINS,Aam Aadmi Party,39570
SURINDER KUMAR,Bahujan Samaj Party,1588
DALIP SINGH,Independent,624
MANBIR SINGH GREWAL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),586
SUSHIL KUMAR,Jammu & Kashmir National Panthers Party,411
DALJEET SINGH BAJWA,Independent,352
JAGVIR SINGH JAGGI,Sada Punjab Party,343
GURDEEP SINGH KAHLON,Independent,258
NAGENDER KUMAR,Hindustan Shakti Sena,244
RANDHIR SINGH,Bahujan Sangharshh Dal,179
None of the Above,None of the Above,1510
