Candidate,Party,Votes
AMRIK SINGH DHILLON,Indian National Congress,51930
SARBANS SINGH MANKI,Aam Aadmi Party,40925
SANTA SINGH UMAIDPUR,Shiromani Akali Dal,38114
SHINGARA SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),837
DALVIR SINGH,Bahujan Samaj Party,687
BHUPINDER SINGH,Aapna Punjab Party,473
MANOHAR LAL,Democratic Party of India,407
DILBAG SINGH,Samaj Adhikar Kalyan Party,386
ASHWANI KUMAR DHAND,Revolutionary Socialist Party,192
None of the Above,None of the Above,1035
