Candidate,Party,Votes
HARINDER PAL SINGH CHANDUMAJRA,Shiromani Akali Dal,58867
HARINDER PAL SINGH MANN,Indian National Congress,53997
KULDEEP KAUR TOHRA,Aam Aadmi Party,33179
HARMEET SINGH PATHAN MAJRA,Independent,11687
MOHAN LAL,Independent,1018
RAJINDER SINGH PAWAR,Independent,835
GURPINDER SINGH CHHINA,Bahujan Samaj Party,701
LAKHWINDER SINGH SANAUR,Independent,650
PURAN CHAND VARTIA,Independent,468
BHUPINDER SINGH MASSINGAN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),403
KULDIP KAUR,Independent,360
RAJINDER SINGH,Shivsena,358
TARSEM SINGH KHATKAR,Independent,339
RAMESH SINGH,Communist Party of India  (Marxist),317
GURPREET SINGH,Independent,317
KULWANT KAUR BHUNERHERI,Independent,185
GURVINDER SINGH,Independent,181
GURMAIL SINGH,Bahujan Mukti Party,160
None of the Above,None of the Above,769
