Candidate,Party,Votes
DILRAJ SINGH,Shiromani Akali Dal,59420
AJIT INDER SINGH,Indian National Congress,50563
SUKHWINDER SINGH (BHOLA MANN),Aam Aadmi Party,38102
JASVEER SINGH,Bahujan Samaj Party,1188
SURJIT SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),995
LAL CHAND,Revolutionary Marxist Party of India,836
PARMINDER SINGH,All India Trinamool Congress,646
JASWANT SINGH,Aapna Punjab Party,434
RAJINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),416
None of the Above,None of the Above,1062
