Candidate,Party,Votes
AJIT SINGH KOHAR,Shiromani Akali Dal,46913
HARDEV SINGH LADI,Indian National Congress,42008
AMARJIT SINGH MEHATPUR,Aam Aadmi Party,41010
CHARANJIT KUMAR NAHAR,Bahujan Samaj Party,952
BACHITTAR SINGH,Communist Party of India  (Marxist),903
GURBAX KAUR,Independent,684
TARA SINGH GILL,Bahujan Samaj Party  (Ambedkar),644
SULAKHAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),547
HARSHDEEP SINGH SANDHU,Aapna Punjab Party,325
GURCHARAN SINGH,Indian Krantikari Lehar,299
PAL SINGH,All India Trinamool Congress,222
None of the Above,None of the Above,849
