Candidate,Party,Votes
NIRMAL SINGH,Indian National Congress,58008
VANINDER KAUR LOOMBA,Shiromani Akali Dal,39488
PALWINDER KAUR,Aam Aadmi Party,32037
AMARJIT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1671
BIRA SINGH,Independent,1602
SARDEEP SINGH,Bahujan Samaj Party,1229
NARANJAN SINGH,Communist Party of India,896
PARMINDER SINGH,Independent,693
NIRMAL SINGH,Independent,563
BALDEV RAM,All India Trinamool Congress,549
KULWINDER SINGH,Democratic Swaraj Party,504
GURJANT SINGH,Independent,268
NARINDER,Independent,254
None of the Above,None of the Above,877
