Candidate,Party,Votes
NAVTEJ SINGH CHEEMA,Indian National Congress,41843
UPINDERJIT KAUR,Shiromani Akali Dal,33681
SAJJAN SINGH CHEEMA,Aam Aadmi Party,28017
PIYARA SINGH JAINPURI,Bahujan Samaj Party,1049
BALDEV SINGH,Revolutionary Marxist Party of India,885
BALWANT SINGH SULTANPURI,Bahujan Samaj Party  (Ambedkar),806
NIRMAL SINGH,Independent,557
MUKHTIYAR SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),397
LAKHWINDER SINGH DESAL,Independent,296
GURJOT SINGH,Independent,169
SURAT SINGH,Aapna Punjab Party,166
None of the Above,None of the Above,616
