Candidate,Party,Votes
AMAN ARORA,Aam Aadmi Party,72815
GOBIND SINGH LONGOWAL,Shiromani Akali Dal,42508
DAAMAN THIND BAJWA,Indian National Congress,30518
RAJINDER DEEPA,Independent,3237
SAHBAJ SINGH DASKA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1041
LABH SINGH,Independent,927
JARNAIL SINGH,Communist Party of India  (Marxist),911
RAM SINGH,Bahujan Samaj Party,641
YADWINDER SINGH,Independent,375
BINDER SINGH,Independent,322
PARAMJEET KAUR,Independent,203
RANDHIR SINGH,Aapna Punjab Party,190
None of the Above,None of the Above,1718
