Candidate,Party,Votes
SANGAT SINGH GILZIAN,Indian National Congress,51477
ARBINDER SINGH RASULPUR,Shiromani Akali Dal,36523
JASVIR SINGH GILL (RAJA),Aam Aadmi Party,32445
GURBAKHASH SINGH,Bahujan Samaj Party,1720
KULDIP SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1454
VIKAS JASRA,Hindustan Shakti Sena,543
VIRENDER KUMAR,Aapna Punjab Party,385
GURDIAL SINGH,Bharatrashtra Democratic Party,348
SUGRIV SINGH,Democratic Party of India (Ambedkar),341
None of the Above,None of the Above,839
