Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Almora,52,RAGHUNATH SINGH CHAUHAN,Bharatiya Janata Party,MANOJ TEWARI,Indian National Congress,5379,Result Declared
B.H.E.L. ranipur,26,ADESH CHAUHAN,Bharatiya Janata Party,AMBRISH KUMAR,Indian National Congress,22240,Result Declared
Badrinath,4,MAHENDRA BHATT,Bharatiya Janata Party,RAJENDRA SINGH BHANDARI,Indian National Congress,5634,Result Declared
Bageshwar,47,CHANDAN RAM DASS,Bharatiya Janata Party,BALKRISHAN,Indian National Congress,14567,Result Declared
Bajpur,64,YASHPAL ARYA,Bharatiya Janata Party,SUNEETA TAMTA,Indian National Congress,12636,Result Declared
Bhagwanpur,28,MAMTA RAKESH,Indian National Congress,SUBODH RAKESH,Bharatiya Janata Party,2513,Result Declared
Bhimtal,57,RAM SINGH KAIRA,Independent,GOVIND SINGH BISHT,Bharatiya Janata Party,3446,Result Declared
Chakrata,15,PRITAM SINGH,Indian National Congress,MADHU CHAUHAN,Bharatiya Janata Party,1543,Result Declared
Champawat,55,KAILASH CHANDRA GAHTORI,Bharatiya Janata Party,HEMESH KHARKWAL,Indian National Congress,17360,Result Declared
Chaubattakhal,39,SATPAL MAHARAJ,Bharatiya Janata Party,RAJPAL SINGH BISHT,Indian National Congress,7354,Result Declared
Dehradun Cantt.,21,SHRI HARBANS KAPOOR,Bharatiya Janata Party,SHRI SURYAKANT DHASMANA,Indian National Congress,16670,Result Declared
Devprayag,10,VINOD KANDARI,Bharatiya Janata Party,DIWAKAR BHATT,Independent,3499,Result Declared
Dhanolti,14,PRITAM SINGH PANWAR,Independent,NARAYAN SINGH RANA,Bharatiya Janata Party,1615,Result Declared
Dharampur,18,VINOD CHAMOLI,Bharatiya Janata Party,DINESH AGARWAL,Indian National Congress,10953,Result Declared
Dharchula,42,HARISH SINGH,Indian National Congress,VIRENDRA SINGH PAL,Bharatiya Janata Party,3085,Result Declared
Didihat,43,VISHAN SINGH,Bharatiya Janata Party,KISHAN  BHANDARI,Independent,2368,Result Declared
Doiwala,23,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,HIRA SINGH BISHT,Indian National Congress,24869,Result Declared
Dwarahat,48,MAHESH SINGH NEGI,Bharatiya Janata Party,MADAN SINGH BISHT,Indian National Congress,6593,Result Declared
Gadarpur,65,ARVIND PANDEY,Bharatiya Janata Party,RAJENDRA PAL SINGH,Indian National Congress,14106,Result Declared
Gangolihat,45,MEENA GANGOLA,Bharatiya Janata Party,NARAYAN RAM ARYA,Indian National Congress,805,Result Declared
Gangotri,3,GOPAL SINGH RAWAT,Bharatiya Janata Party,VIJAYPAL SINGH SAJWAN,Indian National Congress,9610,Result Declared
Ghanshali,9,SHAKTI LAL SHAH,Bharatiya Janata Party,DHANILAL SHAH,Independent,11653,Result Declared
Haldwani,59,INDIRA HRIDAYESH,Indian National Congress,JOGENDRA PAL SINGH RAUTELA,Bharatiya Janata Party,6557,Result Declared
Hardwar,25,MADAN KAUSHIK,Bharatiya Janata Party,BRAHMSWROOP BRAHMCHARI,Indian National Congress,35927,Result Declared
Hardwar Rural,35,YATISHWARANAND,Bharatiya Janata Party,HARISH CHANDRA SINGH RAWAT,Indian National Congress,12278,Result Declared
Jageshwar,53,GOVIND SINGH KUNJWAL,Indian National Congress,SUBHASH PANDEY,Bharatiya Janata Party,399,Result Declared
Jaspur,62,ADESH SINGH CHAUHAN,Indian National Congress,DR. SHAILENDRA MOHAN SINGHAL,Bharatiya Janata Party,4204,Result Declared
Jhabrera,29,DESRAJ KARANWAL,Bharatiya Janata Party,RAJPAL SINGH,Indian National Congress,2253,Result Declared
Jwalapur,27,SURESH RATHOR,Bharatiya Janata Party,S.P.SINGH ENGINEER,Indian National Congress,4788,Result Declared
Kaladhungi,60,BANSIDHAR BHAGAT,Bharatiya Janata Party,PRAKASH JOSHI,Indian National Congress,20597,Result Declared
Kapkot,46,BALWANT SINGH BHOURIYAL,Bharatiya Janata Party,LALIT FARSWAN,Indian National Congress,5982,Result Declared
Karnprayag,6,SURENDRA SINGH NEGI,Bharatiya Janata Party,DR. ANSUYA PARSAD MAIKHURI,Indian National Congress,7549,Result Declared
Kashipur,63,HARBHAJAN SINGH CHEEMA,Bharatiya Janata Party,MANOJ JOSHI,Indian National Congress,20114,Result Declared
Kedarnath,7,MANOJ RAWAT,Indian National Congress,KULDEEP SINGH RAWAT,Independent,869,Result Declared
Khanpur,32,KUNWAR PARNAV SINGH CHAMPION,Bharatiya Janata Party,MUFTI RIYASAT ALI,Bahujan Samaj Party,13735,Result Declared
Khatima,70,PUSHKAR SINGH DHAMI,Bharatiya Janata Party,BHUWAN CHANDRA KAPRI,Indian National Congress,2709,Result Declared
Kichha,67,RAJESH SHUKLA,Bharatiya Janata Party,HARISH RAWAT,Indian National Congress,2127,Result Declared
