Candidate,Party,Votes
RAGHUNATH SINGH CHAUHAN,Bharatiya Janata Party,26464
MANOJ TEWARI,Indian National Congress,21085
DR.SANJAY TAMTA,Bahujan Samaj Party,1654
VIRENDRA KUMAR,Independent,517
MOHD HABIB,Independent,514
DINESH PANDE,Communist Party of India  (Marxist),425
BHUWAN CHANDRA JOSHI,Independent,219
REKHA DHASMANA,UTTARAKHAND PARIVARTAN PARTY,157
KUNDAN SINGH BISHT,Uttarakhand Kranti Dal,130
PRAKASH CHANDRA BHATT,Independent,106
JASWANT SINGH,Samajwadi Party,72
None of the Above,None of the Above,623
