Candidate,Party,Votes
ADESH CHAUHAN,Bharatiya Janata Party,56644
AMBRISH KUMAR,Indian National Congress,34404
PRASHANT RAI,Bahujan Samaj Party,9971
PITAMBAR DUTT BALUNI,Communist Party of India  (Marxist),322
NAVEEN KAUSHIK,Samajwadi Party,282
TIRATH PAL,Independent,253
SANJAY KUMAR,Bahujan Mukti Party,211
DHANESH KUMAR,Independent,204
FAIZAN,Independent,187
IRFAN ALI,Independent,161
GULSHAN KHATRI,Independent,156
TOUFEEQ AHMAD,Uttarakhand Kranti Dal,154
UMESH CHANDR MISHRA,Independent,152
PANKAJ KUMAR,Independent,98
ANAND KUMAR VERMA,Bharatiya Momin Front,96
None of the Above,None of the Above,517
