Candidate,Party,Votes
SATPAL MAHARAJ,Bharatiya Janata Party,20921
RAJPAL SINGH BISHT,Indian National Congress,13567
SUNDER SINGH CHAUHAN,Independent,2545
KAVINDER ISTWAL,Independent,2339
SATENDRA SINGH,Independent,965
NANDAN SINGH RAWAT,Independent,433
RAMENDRA SINGH BHANDARI,Independent,323
ANU PANT,Uttarakhand Kranti Dal (Democratic),316
MANJU RAWAT,Independent,241
POONAM KAINTURA,Prajamandal Party,212
BHARTENDU,Bahujan Samaj Party,211
SUBODH POKHRIYAL,Uttarakhand Kranti Dal,196
SUSHIL CHANDRA,Rashtriya Adarsh Party,162
PREM SUNDRIYAL,UTTARAKHAND PARIVARTAN PARTY,121
CHNDRA MOHAN MUNDEPI,Samajwadi Party,88
None of the Above,None of the Above,210
