Candidate,Party,Votes
SHRI HARBANS KAPOOR,Bharatiya Janata Party,41142
SHRI SURYAKANT DHASMANA,Indian National Congress,24472
SHRI ANOOP NAUTIYAL,Independent,3285
SHRI NAVEEN BISHT,Independent,1303
SHRI DEVENDRA KUMAR,Bahujan Samaj Party,802
KUNWAR JAPENDRA SINGH UTTARAKHANDI,Rashtriya Lok Dal,325
SHRI LAXMAN SINGH NEGI ( ANIL NEGI),Nationalist Congress Party,283
SHRI KAPIL BHATIA,Independent,159
SHRI SANJAY GOYAL,Independent,149
DR. R.K. PATHAK,Samajwadi Party,110
SHRI SRIBILASH,Uttarakhand Kranti Dal,103
SHRI ARUN KHANNA,Independent,64
None of the Above,None of the Above,641
