Candidate,Party,Votes
VINOD KANDARI,Bharatiya Janata Party,13824
DIWAKAR BHATT,Independent,10325
MANTRI PRASAD NAITHANI,Indian National Congress,8742
SHOORBEER SINGH SAJWAN,Independent,6681
SAMEER RATURI,Prajamandal Party,728
GANESH BHATT,Uttarakhand Kranti Dal (Democratic),702
SUNDAR SINGH RANA,Independent,547
SITARAM RANAKOTI,Sainik Samaj Party,454
ANIL BAHUGUNA,Indian Business Party,319
DEENA DEVI,Independent,309
GAUREE SANKER,Bahujan Samaj Party,204
JAMUNA PRASAD RAIWANI,Sarv Vikas Party,171
RAJU MAURYA,Uttarakhand Kranti Dal,156
RAGHUNANDAN PRASAD PANDEY,Shivsena,85
None of the Above,None of the Above,294
