Candidate,Party,Votes
VINOD CHAMOLI,Bharatiya Janata Party,53828
DINESH AGARWAL,Indian National Congress,42875
NOOR HASSAN,Independent,4117
SALEEM AHMED,Bahujan Samaj Party,951
JOGENDRA RAWAT,Independent,577
RAJANI RAWAT,Independent,541
RAMSUKH,Independent,475
BAHADUR SINGH RAWAT,Uttarakhand Kranti Dal,439
MOHAMMAD ISMAIL,Independent,356
RUPENDRA KUMAR TOMAR,Independent,236
NIRAJ SINGHAL,Independent,188
GULISTA KHANAM,Independent,180
PRITAM SINGH KULVANSHI,Independent,163
ANIL KUMAR GUPTA,Independent,137
BRIJ BHUSHAN KARANWAL,Independent,131
MEHERBAN,Independent,113
SANJAY SRIVASTAVA,Independent,111
HRIDAY BHUSHAN DIMRI,Sarv Vikas Party,109
MAN MOHAN LAKHERA,Hamari Janmanch Party,99
None of the Above,None of the Above,377
