Candidate,Party,Votes
TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,58502
HIRA SINGH BISHT,Indian National Congress,33633
A.HAMEED,Bahujan Samaj Party,1569
SUBHASH CHANDRA PUROHIT,Uttarakhand Kranti Dal,475
GAJENDRA SINGH,Bhartiya Sarvodaya Party,313
ARUN,Independent,304
USHA RANI,Independent,274
PRAKASH CHANDRA TIWARI,Independent,222
BALWENDRA SINGH NEGI,Uttarakhand Kranti Dal (Democratic),213
SURENDRA DUTT PETWAL,Hamari Janmanch Party,142
SHIKHA NEGI,Rashtriya Adarsh Party,128
None of the Above,None of the Above,994
