Candidate,Party,Votes
KUNWAR PARNAV SINGH CHAMPION,Bharatiya Janata Party,53192
MUFTI RIYASAT ALI,Bahujan Samaj Party,39457
CHOUDHARY YASHVEER SINGH,Indian National Congress,6894
RAVINDER SINGH,Independent,4856
SUNIL,Independent,729
PALLAVI KUKRETI,Sainik Samaj Party,373
VIRENDER SINGH,Independent,338
SANJAY SINGH,Uttarakhand Kranti Dal,267
RISHIRAM,Independent,134
MOHD. ARSHAD,Independent,132
RAJVEER,Independent,115
PEHAL SINGH,Independent,82
ANIL KUMAR,Independent,42
None of the Above,None of the Above,523
