Candidate,Party,Votes
NAVEEN CHANDRA DUMKA,Bharatiya Janata Party,44293
HARISH CHANDRA DURGAPAL,Indian National Congress,17185
HARENDRA SINGH BORA,Independent,14709
RAJEEV MOHAN,Bahujan Samaj Party,964
PURUSHOTTAM SHARMA,Communist Party of India  (Marxist-Leninist)  (Liberation),793
VIRENDRA PURI MAHARAJ,Independent,592
CHANDAN SINGH RANA,Shivsena,407
VIJAY JOSHI,Independent,238
DEEPA BHATT,Uttarakhand Kranti Dal,224
RAJENDER SINGH BISHT,Independent,191
None of the Above,None of the Above,1216
