Candidate,Party,Votes
GANESH JOSHI,Bharatiya Janata Party,41322
GODAWARI THAPLI,Indian National Congress,29245
RAJKUMAR JAISWAL,Independent,1692
ASHOK PANWAR,Bahujan Samaj Party,862
JAI PRAKASH UPADHYAY,Uttarakhand Kranti Dal,471
SANJAY KUNDALIYA,Independent,404
ANIRUDDHA SHARMA,Uttarakhand Kranti Dal (Democratic),253
SUSHIL KUMAR MALHOTRA,Independent,212
SARIKA PRADHAN,Independent,163
GYANVEER TYAGI,UTTARAKHAND PARIVARTAN PARTY,137
CAROL ALICK ROGERS,Independent,104
YESHVEER ARYA,Independent,73
None of the Above,None of the Above,634
