Candidate,Party,Votes
UMESH SHARMA KAU,Bharatiya Janata Party,59764
PRABHU LAL,Indian National Congress,22993
RAJNI RAWAT,Independent,7569
MAHENDER SINGH NEGI,Independent,2714
HARI SINGH KHORWAL,Bahujan Samaj Party,1680
TEJENDRA SINGH RAWAT,Independent,1079
RAKESH BARTHWAL,Independent,392
NIRMALA BISHT,Independent,331
ANIL DOBHAL,Uttarakhand Kranti Dal,293
YAGYA BHUSAN SHARMA,Independent,197
NAGENDER SINGH,Independent,155
RUKHSHAR MANSOORI,Independent,126
RAJENDRA PRASAD GAIROLLA,Rashtriya Uttarakhand Party,123
USHA NAGAR,Rashtriya Adarsh Party,93
MOHD. EHSAAN,Independent,81
RAJKUMAR TYAGI,UTTARAKHAND PARIVARTAN PARTY,77
MAA PRABHA KIRAN,Sarv Vikas Party,74
DHAN SINGH,Bhartiya Sarvodaya Party,67
VIJAYNATH,Independent,42
None of the Above,None of the Above,548
